location_name,QAQC,event_year,event_name_calc,Species_Original,Plant_Concept_Current_IDF,Cover_Class,Presence_Column_1,Presence_Column_2,Presence_Column_3,Presence_Column_4,Presence_Column_5,Presence_Column_6,Presence_Column_7,Presence_Column_8,Herb_Column_1_Module,Herb_Column_1_Corner,Herb_Column_2_Module,Herb_Column_2_Corner,Herb_Column_3_Module,Herb_Column_3_Corner,Herb_Column_4_Module,Herb_Column_4_Corner,Herb_Column_5_Module,Herb_Column_5_Corner,Herb_Column_6_Module,Herb_Column_6_Corner,Herb_Column_7_Module,Herb_Column_7_Corner,Herb_Column_8_Module,Herb_Column_8_Corner
STRI011,-1,2011,STRI011Q,QUERIMB,{C979EEB3-3E6A-4A2A-B4F7-3CF3631D23ED},2,NA,2,NA,NA,NA,NA,3,NA,1,2,1,4,2,2,2,3,3,2,3,4,4,2,4,3
STRI011,-1,2011,STRI011Q,HYPEFRO,{27512572-A874-4C04-BB6C-C8CC85349590},3,3,NA,3,NA,NA,2,NA,1,1,2,1,4,2,2,2,3,3,2,3,4,4,2,4,3
STRI011,-1,2011,STRI011Q,ASPLPLA,{FC8F7328-92A3-486A-99A2-F193C59D2808},2,3,2,3,NA,3,NA,2,NA,1,2,1,4,2,2,2,3,3,2,3,4,4,2,4,3
STRI011,-1,2011,STRI011Q,Poaceae sp.,{BEF991FB-981C-4D14-9F90-BA3410851B2D},1,NA,NA,NA,NA,3,NA,NA,NA,1,2,1,4,2,2,2,3,3,2,3,4,4,2,4,3
STRI011,-1,2011,STRI011Q,VIBURUF,{BE4B8A15-1A1A-47D1-8495-EF23DA0022FC},2,NA,NA,NA,1,2,NA,NA,NA,1,2,1,4,2,2,2,3,3,2,3,4,4,2,4,3
STRI011,-1,2011,STRI011Q,LONISTA,{1B100615-E0BE-4A05-916A-D9092701E336},2,NA,2,NA,NA,NA,NA,NA,1,1,2,1,4,2,2,2,3,3,2,3,4,4,2,4,3
STRI011,-1,2011,STRI011Q,MACLPOM,{D8D6F979-8444-4F87-91DD-2B1F77531C7C},6,NA,1,NA,1,NA,NA,NA,3,1,2,1,4,2,2,2,3,3,2,3,4,4,2,4,3
STRI011,-1,2011,STRI011Q,AGRIROS,{43A7552F-3FBD-464E-BB54-18FF3245B767},2,3,NA,2,NA,3,NA,NA,2,1,2,1,4,2,2,2,3,3,2,3,4,4,2,4,3
STRI011,-1,2011,STRI011Q,Fabaceae sp.,{F8F5EF45-68BE-4551-AB1D-B4D31C777926},1,NA,NA,NA,NA,NA,NA,3,NA,1,2,1,4,2,2,2,3,3,2,3,4,4,2,4,3
STRI011,-1,2011,STRI011Q,ACALGRA,{AE65A4BC-2AFD-4377-9B70-E39613B283D7},2,3,NA,2,NA,2,NA,NA,NA,1,2,1,4,2,2,2,3,3,2,3,4,4,2,4,3
