Tree_ID,Event_IDF,location_name,Event_Type,event_year,Module,Tree_Number,Species_Original,Plant_Concept_Current_IDF,DBH,Tree_Status,Crown_Class,Vigor,Dieback,Condition_Damage_Code_1,Condition_Damage_Code_2,Condition_Damage_Code_3,Condition_Damage_Code_4,Condition_Damage_Code_5,Foliage_Condition_1,Foliage_Percent_Class_1,Foliage_Condition_2,Foliage_Percent_Class_2,Foliage_Condition_3,Foliage_Percent_Class_3,Foliage_Condition_4,Foliage_Percent_Class_4,Foliage_Condition_5,Foliage_Percent_Class_5,Dead_Tree_Decay_Class,Snag_Height,qaqcPlotTree_ID,ArboristName
{005DB2CC-FFDF-4449-A3CB-6EB1378BBD4C},{B60EEEB7-932D-4DD9-81ED-CBCBA26AD429},MACA023,plot establishment,2013,2,9,FAGUGRA,{48C88572-84A5-40DB-B015-E69FDB88CB25},11,1,5,1,,,,,,,,,,,,,,,,,,,{3DEDBCB7-7A79-48CB-AE76-840CBF03EAC6},Moore_Bill
{007E401E-D9D3-4DD1-A35A-42C81C9125E3},{5B9DD68F-DEBC-4B6E-A07E-DAC1C7862600},GUCO009,plot establishment,2011,3,9,QUERFAL,{FBCF8566-0F6A-43C5-B1CA-84D719B96CF2},71,1,3,1,2,,,,,,,,,,,,,,,,,,{621A3CAD-03F8-4EB6-B631-C416FAB26B25},Hartger_P.
{00BF8F62-5F12-4E07-BEB4-53BCF855A36A},{E768DBCD-F612-4F61-B108-4DCEC9E049B8},CHIC005,plot establishment,2011,4,14,ACERRUB,{F005F3BB-6045-4A0B-A022-F6AB3D4D4043},26,1,5,1,1,VINE,,,,,H,1,,,,,,,,,,,{07A93037-1C59-4E3F-9453-FD3AA751C5AA},_
{01A6E234-E635-4BC7-9F36-A739FCDDA31A},{4CE339A2-DBEB-4322-8DB3-E0EBC1FBEBD7},GUCO008,plot establishment,2011,1,14,PINUVIR,{BA0454FB-F97D-4A47-AC52-F010C6191AFD},45,1,3,3,2,,,,,,L,2,,,,,,,,,,,{44219E80-F1CE-48F3-8876-6DFE7BD1494A},Bledsoe_Clare
{01E0AA9C-BD11-4EDA-8602-EC0F570FBF85},{0D2FF3F3-554B-486D-8EBE-B5AE69367154},LOOK003,plot revisit,2016,1,4,QUERPRIU,{F4C1717E-6390-4AE6-82A2-060BA511EC6E},12,2,,,,,,,,,,,,,,,,,,,2,10,{2FB5A8F2-514D-46B0-8BA4-6BB52CFB2FA4},White_Rickie
{01FA09D1-A51C-4084-B676-AC7F75DF1CF5},{0E570ADF-85CD-46B1-918E-D6CAF823B068},MACA007,plot revisit,2016,2,18,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},29,1,3,2,,,,,,,,,,,,,,,,,,,{4389A54F-ABD1-4EA1-8C34-3C42EC60224D},Moore_Bill
{02624860-0831-476F-B9C4-EBA294774D87},{0D2FF3F3-554B-486D-8EBE-B5AE69367154},LOOK003,plot revisit,2016,3,8,CARYOVAL,{7FBEB511-73E0-4B90-811A-AFE3BC17947D},14,1,5,1,,,,,,,,,,,,,,,,,,,{28A7AE58-F4AB-40A8-9D44-49256C2E6DF8},White_Rickie
{0266926B-9913-4516-9EB5-E8322D2AE320},{690FE5EE-5009-409C-B821-F1F7C484FEBA},MACA036,plot establishment,2014,1,1,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},38,1,3,1,,VINE,,,,,,,,,,,,,,,,,{2E4A2BFC-66C4-4D0E-8C86-32CAB225D3DB},Bledsoe_Clare
{03037E6A-D65E-40E2-9DAF-D43FCC816810},{4CE339A2-DBEB-4322-8DB3-E0EBC1FBEBD7},GUCO008,plot establishment,2011,3,2,FAGUGRA,{48C88572-84A5-40DB-B015-E69FDB88CB25},12,1,5,1,,,,,,,,,,,,,,,,,,,{86A34106-3F6F-41EE-B48F-F181BD053828},Bledsoe_Clare
{0359B915-FF76-43C9-9425-DAB99462196C},{557397DC-82A4-4B13-AC23-745912A25B83},CHIC007,plot establishment,2012,3,13,CARYCAR,{F2D9F1A7-B26A-43D7-942C-C4D459A74F72},28,1,2,1,1,VINE,,,,,,,,,,,,,,,,,{7A9CB1D4-6E93-4B58-80F4-C1C1469A4920},Nordman_Carl
{03C96605-891A-44E4-BB35-56DFA649E648},{0CBE8039-50EB-4D03-A463-136E6239F199},CHIC014,plot establishment,2013,4,35,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},10,1,5,1,1,,,,,,,,,,,,,,,,,,{75A20F37-367E-4E8B-B010-249331FC9324},Moore_Bill
{0479B06B-D108-408A-BCD3-573DE9CF5E1C},{4CE339A2-DBEB-4322-8DB3-E0EBC1FBEBD7},GUCO008,plot establishment,2011,1,15,PINUVIR,{BA0454FB-F97D-4A47-AC52-F010C6191AFD},28,1,3,4,3,,,,,,L,3,,,,,,,,,,,{1D5794D5-5EE9-4532-B0B3-0CB6948A4270},Bledsoe_Clare
{063ACF10-3B9F-4A09-93E4-980768B95AB4},{73AB927B-657F-4826-A1FF-33F3EDCBACC5},KIMO011,plot establishment,2012,3,18,OXYDARB,{618394AC-EC81-4F3E-9466-9C6CE04786C7},16,1,5,1,1,FIRE,,,,,,,,,,,,,,,,,{B81D3B46-3323-4C6F-ABA2-0E57DCE54392},Bledsoe_Clare
{0709110A-C178-458D-8E41-16287ACD65AC},{73AB927B-657F-4826-A1FF-33F3EDCBACC5},KIMO011,plot establishment,2012,2,8,PINUECH,{4283D5F5-B46B-4C38-8B84-460DC5A88269},12,1,5,2,,FIRE,,,,,,,,,,,,,,,,,{A03A8B4E-B451-4CE7-9F4F-5E3F23107E6A},Bledsoe_Clare
{07AEB92E-4993-404B-A487-95C506730E5B},{4CE339A2-DBEB-4322-8DB3-E0EBC1FBEBD7},GUCO008,plot establishment,2011,3,6,ACERRUB,{F005F3BB-6045-4A0B-A022-F6AB3D4D4043},16,1,5,1,,,,,,,,,,,,,,,,,,,{C73B9667-579F-4E24-BBED-A938BE85B71A},Bledsoe_Clare
{088E07CF-2009-4343-8E87-154909C95657},{E2BFF458-D925-46E7-99FA-1A1C090215CF},MACA018,plot establishment,2013,3,6,FAGUGRA,{48C88572-84A5-40DB-B015-E69FDB88CB25},12,1,5,1,,FORK,,,,,N,1,,,,,,,,,,,{60F00DED-E2E1-47B3-B852-082B57F746C1},Bledsoe_Clare
{099D60CC-E257-4B25-842A-9BBE16B535B7},{E2BFF458-D925-46E7-99FA-1A1C090215CF},MACA018,plot establishment,2013,2,2,QUERVEL,{98FEDA8E-4F45-425F-A9B2-C2762A2E775F},74,1,3,1,,,,,,,,,,,,,,,,,,,{3279C983-9C63-4F3A-B5CF-679E1289B601},Bledsoe_Clare
{0A1BA845-1701-4350-9921-C0E784DFF235},{3310AF53-F516-4D7E-B7C9-845F12FB4818},KIMO013,plot establishment,2012,1,9,ACERRUB,{F005F3BB-6045-4A0B-A022-F6AB3D4D4043},22,1,3,1,1,,,,,,,,,,,,,,,,,,{5B0D9427-059C-4AC8-9821-2786AAB540AA},Bledsoe_Clare
{0A804698-6E54-4A2C-AB9B-063BB90BAFEF},{CAA3CB67-A5D4-4EEC-A4EE-C05EB5C2A2D9},MACA027,plot establishment,2013,4,21,CARYGLA,{56A01BE8-41DF-42BD-96BB-77B0BCA2FEDD},19,1,4,1,1,FORK,,,,,,,,,,,,,,,,,{4C5FE8E2-48D9-46E2-A2D6-C5BCDAF341E6},Thomas_Steve
